id,xcentroid,ycentroid,RA,Dec,magnitude,observation_date,telescope,plate_center_RA_deg,plate_center_Dec_deg,band,mjd,link_id,observatory_code,mag_err,RA_err,Dec_err,image_frame_id,exposure_s,ml_probs
367,3945.001749273602,317.6797691800262,344.43578679281313,20.96638484767411,17.587328078411453,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_367,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999999990478569
423,1496.4218333271237,367.21948193136853,345.1681857754853,20.956299900760964,20.899194073972037,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_423,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.1778710708011834
485,2901.199309490026,424.2861669069587,344.7481726863657,20.938557490323475,21.063983680514962,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_485,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.690044937
508,1974.153260892481,449.9563727788797,345.0254310087694,20.932701443229078,20.291510654330267,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_508,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.22128939056882113
643,2122.0335742720376,563.0940573,344.98138613682653,20.90096001,19.182881200411906,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_643,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8642154294126451
722,1627.5668681226043,627.0779174319152,345.12929631871896,20.88369274018008,18.620079692480672,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_722,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9547584192686276
740,252.7901190392892,644.2813859110614,345.54026168563803,20.879945250764933,21.307499115633572,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_740,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8162211127938961
749,1234.4155376137019,650.9270294,345.2468465984289,20.877426718564664,21.284531005048965,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_749,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.4073430189300884
839,441.24665283204365,723.8152658461718,345.4839803434739,20.857675976107316,21.132777006049373,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_839,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.46920354060280434
846,1176.7452276047277,729.9337402090064,345.2641664285789,20.855444796133916,22.989063170368887,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_846,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7252092040011873
